input,reference,decoded1,decoded2,decoded3
ank,अंक,अंक,आंक,एंक
anka,अंक,अंका,आंका,अनका
ankit,अंकित,अंकित,अंकीत,आंकित
anakon,अंकों,अनकों,आनकों,अनाों
ankhon,अंकों,अंखों,आंखों,एंखों
ankon,अंकों,अंकों,आंकों,एंकों
angkor,अंकोर,एंगकर,अंगकर,एंजकर
ankor,अंकोर,अंकोर,एंकोर,आंकोर
angaarak,अंगारक,अंगारक,आंगारक,अंगररक
angarak,अंगारक,अंगरक,आंगरक,अंगाक
angraji,अंग्रज़ी,अंग्रजी,अगग्रजी,अंगररजी
angreji,अंग्रज़ी,अग्रेंजी,अं्रेंजी,अग्रेजजी
angrzi,अंग्रज़ी,अंगरी,अंग्ी,अंगडी
antah,अंतः,अंतह,अंता,अंतः
antaha,अंतः,अंतहा,अंटहा,अंताा
antarmukh,अंतर्मुख,अंतर्मुख,अंतरममुख,अनतर्मुख
antmurkh,अंतर्मुख,अंतमूर्ख,अंतमुर्ख,अंतरूर्ख
antrmukh,अंतर्मुख,अंतर्मुख,अंतर्रुख,अंतर्पुख
andrabee,अंद्राबी,अंदरबी,अंद्बी,अंदराी
andrabi,अंद्राबी,अंदराबी,अंद्ाबी,आंदराबी
andha,अंधा,अंधा,आंधा,अंध
andhapan,अंधापन,अंधपन,अंधान,आंधपन
andheri,अंधेरी,अंधेरी,आंधेरी,अंधीरी
ambaani,अंबानी,अंबानी,अमबानी,अंबाणी
ambani,अंबानी,अंबानी,अमबानी,अंबाणी
akram,अकरम,अक्रम,आक्रम,अक्रा
acapulco,अकापुल्को,अकापुल्को,एकापुल्को,असापुल्को
akapulko,अकापुल्को,अकापुलको,अकापुल्ो,आकापुलको
akhand,अखंड,अखंड,अखाड,अखंद
akhil,अखिल,अखिल,आखिल,अखील
agavai,अगवाई,अगवाई,अगााई,आगवाई
agvaai,अगवाई,अग्वाई,अगववाई,आग्वाई
augustine,अगस्टाइन,एगस्टिन,आगस्टिन,एगस्टीन
augustustine,अगस्टाइन,एगस्टस्टिन,एगस्टस्टीन,एगस्ट््टिन
agsta,अगस्ता,अगस्ता,अगस्त,अगसतता
agusta,अगस्ता,अगस्ता,अगस्त,अगस्टा
augusta,अगस्ता,औगस्त,औगस्ता,अगस्त
agr,अग्र,अग्र,एग्र,आग्र
agra,अग्र,अग्र,अग्रा,आग्र
achambha,अचंभा,अचंभा,अचंभ,अचाभा
achanbha,अचंभा,अचंभा,अचंभ,अचाभा
achievement,अचीवमेंट,अचिएवमेंट,अच्एवमेंट,एचिएवमेंट
achivement,अचीवमेंट,अचिवमेंट,एचिवमेंट,अकिवमेंट
acchi,अच्छी,अच्छी,अच्छि,आच्छी
achchi,अच्छी,अच्छि,अच्छी,आच्छि
achhi,अच्छी,अच्छि,अच्छी,अछ्छि
achyut,अच्युत,अच्युत,अचययुत,अच्युत्
achhanera,अछनेरा,अच्चानेरा,अच्छानेरा,अछ्चानेरा
achnera,अछनेरा,अचनेरा,एचनेरा,अच्ेरा
ajmeedh,अजमीढ़,अजमीध,अजमीद,अजमीढ
ajhar,अजहर,अझार,अहार,आझार
azhar,अजहर,अहर,अहा,जहर
ajit,अजित,अजित,अजीत,आजित
agnat,अज्ञात,अग्नात,अग्ञात,अज्नात
agyaat,अज्ञात,अज्ञात,अग्ञात,आज्ञात
agyat,अज्ञात,अज्ञात,अज्ञतत,अग्ञात
atakta,अटकता,अतकता,अटकता,आतकता
atkata,अटकता,अटकता,अतकता,आटकता
atake,अटके,अतके,अटके,आतके
atke,अटके,अटके,अतके,एटके
atwaal,अटवाल,अत्वाल,आत्वाल,अतववाल
atwal,अटवाल,अतवाल,अतवलल,अत्ाल
attahasa,अट्टहास,अत्तहासा,अत्तहससा,अत्ताासा
atthaas,अट्टहास,अत्थास,अट्थास,आत्थास
atthas,अट्टहास,अत्थास,अट्थास,अत्थसस
addon,अड्डों,अद्दों,एद्दों,अदददों
athak,अथक,अठक,अथक,आठक
atharv,अथर्व,अथर्व,अठर्व,अथरवव
atharva,अथर्व,अठरवा,अथरवा,अठर्ा
adad,अदद,अदाद,आदाद,अददद
adaani,अदाणी,अदानी,आदानी,एदानी
adani,अदाणी,अदानी,आदानी,एदानी
advait,अद्वैत,अद्वैत,आद्वैत,अदववैत
adwait,अद्वैत,अद्वैत,आद्वैत,अदववैत
advaitvaad,अद्वैतवाद,अद्वैत्वाद,अद्वैतववाद,अद्वेत्वाद
advaitwad,अद्वैतवाद,अद्वैतवाद,अद्वैत्ाद,अद्वेतवाद
adhivas,अधिवास,अधिवास,अधीवास,आधिवास
adhiwas,अधिवास,अधिवास,अधीवास,आधिवास
advivas,अधिवास,अद्विवस,अद्विवा,अद्वीवस
adhiik,अधीक,अधीक,अधिक,आधीक
adhik,अधीक,अधिक,अधिक़,आधिक
adhyayanarat,अध्ययनरत,अध्ययनरत,अध्ययनर,अध्ययनर्
adhyayanrat,अध्ययनरत,अध्ययनरत,अध्ययनर्,अध्ययररत
adhyaynrat,अध्ययनरत,अध्ययर्रत,अध्ययन्रत,अध्ययरारत
anant,अनंत,अनांत,अनंंत,आनांत
ananti,अनंती,अनांति,आनांति,अनंंति
angadh,अनगढ़,अंगाध,अंगढध,अंगधध
angarh,अनगढ़,अंगरह,अंगर,अंगाह
anchahe,अनचाहे,अंचाहे,आंचाहे,अंचहहे
anthak,अनथक,अंतक,अंठक,अंथक
unthak,अनथक,ऊंठक,उंठक,अंठक
anhoni,अनहोनी,अनहोनी,अन्ोनी,अनहोणी
anaavashyak,अनावश्यक,अनावश्यक,आनावश्यक,अनावा्यक
anavashyak,अनावश्यक,अनावश्यक,आनावश्यक,अनावा्यक
anavshyak,अनावश्यक,अनावश्यक,आनावश्यक,अन्वश्यक
anawashyak,अनावश्यक,अनावश्यक,अनावा्यक,आनावश्यक
anik,अनिक,अनिक,आनिक,अणिक
anishwarvadi,अनीश्वरवादी,अनिश्वरवादी,आनिश्वरवादी,अनिश्वववादी
anishwarwadi,अनीश्वरवादी,अनिश्वरवादी,आनिश्वरवादी,अनिश्वववादी
anukoltha,अनुकूलता,अनुकोल्टा,अनुकोलाटा,अनुकोल्ठा
anukulata,अनुकूलता,अनुकुलता,अनुकूलता,आनुकुलता
anukulta,अनुकूलता,अनुकुलता,अनुकूलता,अनुकुल्ा
anuchit,अनुचित,अनुचित,अनुच्त,अनूचित
anuprayogi,अनुप्रयोगों,अनुप्रयोगी,अनूप्रयोगी,अनुप्राोगी
anuprayogon,अनुप्रयोगों,अनुप्रयोगों,अनुप्राोगों,अनूप्रयोगों
anupryogon,अनुप्रयोगों,अनुप्रयोगों,अनुप्रवोगों,अनूप्रयोगों
anureet,अनुरीत,अनुरीत,आनुरीत,अनूरीत
anurit,अनुरीत,अनुरित,अनुरीत,आनुरित
anuthi,अनूठी,अनुथी,अनुथि,अनूथी
anudit,अनूदित,अनुदित,अनुदीत,आनुदित
anyaay,अन्याय,अन्याय,आन्याय,अनययाय
anyay,अन्याय,अन्याय,अन्ययय,आन्याय
anyaya,अन्याय,अन्याय,आन्याय,अन्ययय
apnani,अपनानी,अपनानी,अप्ानी,आपनानी
aparivartanshali,अपरिवर्तनशील,अपरिवार्तनशी,अपरिवरर्तनशी,अपरिवारततनशी
aparivartansheel,अपरिवर्तनशील,अपरिवर्तनशील,अपरिवा्तनशील,अपरिवर्तनेील
aparivartanshil,अपरिवर्तनशील,अपरिवर्तनशील,अपरिवा्तनशील,अपरिवर्तनशिल
apariharya,अपरिहार्य,अपरिहर्य,अपरिहर्या,अपरिहा्य
aprihary,अपरिहार्य,अपरिहर्य,अपरिहरीय,अप्िहर्य
apriyary,अपरिहार्य,अप्रियारी,अप्रियररी,अप्रीयारी
apavartit,अपवर्तित,अपवर्तित,अपार्तित,अपवा्तित
apvartit,अपवर्तित,अपवर्तित,अपवा्तित,अप्र्तित
apvtrit,अपवर्तित,अपवत्रित,अप्त्रित,अपवत्तित
apaardarshi,अपारदर्शी,अपारदर्शी,अपारदरशशी,अपारदा्शी
apardarshi,अपारदर्शी,अपरदर्शी,अपर्र्शी,अपरदा्शी
afroj,अफरोज,अफ्रोज,अफररोज,एफ्रोज
afroz,अफरोज,अफ्रो,एफ्रो,आफ्रो
africa,अफ्रीका,अफ्रीका,एफ्रीका,अफ्रिका
abbaasi,अब्बासी,अब्बासी,आब्बासी,अब्बासि
abbasi,अब्बासी,अब्बासी,अब्बेसी,एब्बासी
abhimat,अभिमत,अभिमत,अभिमा,अभिमट
abhishap,अभिशाप,अभिशप,अभिशा,अभिषप
abhi,अभी,अभी,आभी,अभि
amjhera,अमझेरा,अमहेरा,अमझेरा,अम्ेरा
amzera,अमझेरा,अमेरा,एमेरा,आमेरा
amargad,अमरगढ़,अमरगढ़,अमागढ़,अमरगा़
amargarh,अमरगढ़,अमरगढ़,अमागढ़,आमरगढ़
amarpaal,अमरपाल,अमरपाल,अमापाल,आमरपाल
amarpal,अमरपाल,अमरपाल,अमापाल,अमरपलल
amarohi,अमरोही,अमरोही,अमाोही,आमरोही
amrohi,अमरोही,अमरोही,अमृोही,अम्ोही
amaanat,अमानत,अमानत,अम्नत,अममनत
amanat,अमानत,अमानत,अम्नत,आमानत
amanth,अमानत,अमांत,अमंंत,अमांथ
amaanati,अमानती,अमानती,अम्नती,अममनती
amanathi,अमानती,अमानाथी,अमानथथी,अमानतथी
amanati,अमानती,अमानती,अमाणती,अमानति
amavasya,अमावस्या,अमावस्य,अमावस्या,अमावा्य
amavsya,अमावस्या,अमावस्या,अमावस्य,अमावसयया
amit,अमित,अमित,अमिट,एमित
amitao,अमिताव,अमिताओं,अमिताओ,अमिटाओं
amitav,अमिताव,अमिताव,अमिटाव,एमिताव
amuk,अमुक,अमुक,अमूक,आमुक
amogh,अमोघ,अमोध,अमोग,अमोघ
ambani,अम्बानी,अंबानी,अमबानी,अंबाणी
ayodhyaanaath,अयोध्यानाथ,अयोद्यान,अयोद्याना,अयोध्यान
